OrigName,OrigLat,OrigLon,DestName,DestLat,DestLon,
Tokyo,35.685,139.7514,Tongshan,34.28,117.18,
New York,40.6943,-73.9249,Riverside,33.9381,-117.3948,
Mexico City,19.4424,-99.131,Linyi,35.08,118.33,
Mumbai,19.017,72.857,St. Louis,38.6358,-90.2451,
São Paulo,-23.5587,-46.625,Las Vegas,36.2333,-115.2654,
Delhi,28.67,77.23,Maracaibo,10.73,-71.66,
Shanghai,31.2165,121.4365,Kuwait City,29.3697,47.9783,
Kolkata,22.495,88.3247,Ad Dammām,26.4282,50.0997,
Los Angeles,34.1139,-118.4068,Portland,45.5371,-122.65,
Dhaka,23.7231,90.4086,Haikou,20.05,110.32,
Buenos Aires,-34.6025,-58.3975,Hiroshima,34.3878,132.4429,
Karachi,24.87,66.99,Baotou,40.6522,109.822,
Cairo,30.05,31.25,Hefei,31.85,117.28,
Rio de Janeiro,-22.925,-43.225,Indore,22.7151,75.865,
Ōsaka,34.75,135.4601,Goiânia,-16.72,-49.3,
Beijing,39.9289,116.3883,Sanaa,15.3547,44.2066,
Manila,14.6042,120.9822,San Antonio,29.4658,-98.5254,
Moscow,55.7522,37.6155,Port-au-Prince,18.541,-72.336,
Istanbul,41.105,29.01,Haiphong,20.83,106.6801,
Paris,48.8667,2.3333,Suzhou,33.6361,116.9789,
Seoul,37.5663,126.9997,Nanyang,33.0004,112.53,
Lagos,6.4433,3.3915,Bucharest,44.4334,26.0999,
Jakarta,-6.1744,106.8294,Ningbo,29.88,121.55,
Guangzhou,23.145,113.325,Douala,4.0604,9.71,
Chicago,41.8373,-87.6862,Tangshan,39.6243,118.1944,
London,51.5,-0.1167,Tainan,23,120.2,
Lima,-12.048,-77.0501,Xiping,40.08,113.3,
Tehran,35.6719,51.4243,Asunción,-25.2964,-57.6415,
Kinshasa,-4.3297,15.315,Saidu Sharif,34.75,72.35,
Bogotá,4.5964,-74.0833,Brisbane,-27.455,153.0351,
Shenzhen,22.5524,114.1221,Rawalpindi,33.6,73.04,
Wuhan,30.58,114.27,Sacramento,38.5667,-121.4683,
Hong Kong,22.305,114.185,Beirut,33.872,35.5097,
Tianjin,39.13,117.2,San Jose,37.3021,-121.8489,
Chennai,13.09,80.28,Minsk,53.9,27.5666,
Taipei,25.0358,121.5683,Kyōto,35.03,135.75,
Bengalūru,12.97,77.56,Barranquilla,10.96,-74.8,
Bangkok,13.75,100.5166,Orlando,28.4772,-81.3369,
Lahore,31.56,74.35,Shuyangzha,34.1299,118.7734,
Chongqing,29.565,106.595,Valencia,10.23,-67.98,
Miami,25.7839,-80.2102,Hamburg,53.55,10,
Hyderabad,17.4,78.48,Vadodara,22.31,73.18,
Dallas,32.7936,-96.7662,Manaus,-3.1,-60,
Santiago,-33.45,-70.667,Shangqiu,34.4504,115.65,
Philadelphia,40.0077,-75.1339,Wuxi,31.58,120.3,
Belo Horizonte,-19.915,-43.915,Palembang,-2.98,104.75,
Madrid,40.4,-3.6834,Brussels,50.8333,4.3333,
Houston,29.7869,-95.3905,Essen,51.45,7.0166,
Ahmadābād,23.0301,72.58,Cleveland,41.4767,-81.6805,
Ho Chi Minh City,10.78,106.695,Bhopal,23.25,77.41,
Washington,38.9047,-77.0163,Hohhot,40.82,111.66,
Atlanta,33.7627,-84.4225,Pittsburgh,40.4396,-79.9763,
Toronto,43.7,-79.42,Luoyang,34.68,112.4701,
Singapore,1.293,103.8558,Santos,-23.9537,-46.3329,
Luanda,-8.8383,13.2344,Jingling,30.6501,113.16,
Baghdad,33.3386,44.3939,Warsaw,52.25,21,
Barcelona,41.3833,2.1834,Rabat,34.0253,-6.8361,
Hāora,22.5804,88.3299,Vitória,-20.324,-40.366,
Shenyang,41.805,123.45,Quito,-0.215,-78.5001,
Khartoum,15.5881,32.5342,Antananarivo,-18.9166,47.5166,
Pune,18.53,73.85,Coimbatore,11,76.95,
Boston,42.3188,-71.0846,Daqing,46.58,125,
Sydney,-33.92,151.1852,Lu’an,31.7503,116.48,
Saint Petersburg,59.939,30.316,Sanzhou,30.82,108.4,
Chittagong,22.33,91.8,Budapest,47.5,19.0833,
Dongguan,23.0489,113.7447,Turin,45.0704,7.67,
Riyadh,24.6408,46.7727,Suzhou,31.3005,120.62,
Hanoi,21.0333,105.85,Ludhiāna,30.9278,75.8723,
Guadalajara,20.67,-103.33,Cincinnati,39.1412,-84.506,
Melbourne,-37.82,144.975,Kumasi,6.69,-1.63,
Alexandria,31.2,29.95,Manhattan,40.7834,-73.9662,
Chengdu,30.67,104.07,Qiqihar,47.345,123.99,
Rangoon,16.7834,96.1667,Anshan,41.115,122.94,
Phoenix,33.5722,-112.0891,Austin,30.3006,-97.7517,
Xi’an,34.275,108.895,Zhongli,24.965,121.2168,
Porto Alegre,-30.05,-51.2,Handan,36.58,114.48,
Sūrat,21.2,72.84,Tai’an,36.2,117.1201,
Hechi,23.0965,109.6091,Eşfahān,32.7,51.7,
Abidjan,5.32,-4.04,Kansas City,39.1239,-94.5541,
Brasília,-15.7833,-47.9161,Yaoundé,3.8667,11.5167,
Ankara,39.9272,32.8644,Shantou,23.37,116.67,
Monterrey,25.67,-100.33,Āgra,27.1704,78.015,
Yokohama,35.32,139.58,Zhanjiang,21.2,110.38,
Nanjing,32.05,118.78,La Paz,-16.498,-68.15,
Montréal,45.5,-73.5833,Kalyān,19.2502,73.1602,
Guiyang,26.58,106.72,Abuja,9.0833,7.5333,
Recife,-8.0756,-34.9156,Harare,-17.8178,31.0447,
Seattle,47.6211,-122.3244,Indianapolis,39.7771,-86.1458,
